NME_REGION_GR,NME_TIPOLOGIA_PD,produccion_region_tipologia,produccion_total,produccion_tipologia_nacional,participacion_tipologia_region,participacion_tipologia_nacional,indice_especializacion
Pacífico,Regulación y norma acto legislativo,9,136445,150,6.596064348272198e-05,0.00012022284506561363,0.5487
Pacífico,Generación de contenido multimedia,465,136445,8256,0.0034079665799406356,0.0066170653924113735,0.515
Pacífico,Generación de contenido de audio,27,136445,519,0.00019788193044816593,0.0004159710439270231,0.4757
Pacífico,Innovaciones en procedimiento y servicio,389,136445,7565,0.002850965590530983,0.00606323881947578,0.4702
Pacífico,Asesoría al programa Ondas,46,136445,969,0.00033713217780057897,0.000776639579123864,0.4341
Pacífico,Registro general,5,136445,128,3.6644801934845545e-05,0.00010259016112265696,0.3572
Pacífico,Empresa de base tecnológica,69,136445,1827,0.0005056982667008685,0.0014643142528991738,0.3453
Pacífico,Secreto empresarial,182,136445,5373,0.0013338707904283777,0.0043063823102502796,0.3097
Pacífico,Nuevo registro científico,25,136445,814,0.0001832240096742277,0.0006524093058893966,0.2808
Pacífico,Innovacion de gestion empresarial,229,136445,8429,0.0016783319286159258,0.006755722407053715,0.2484
Pacífico,Signos Distintivos,31,136445,1189,0.00022719777199604237,0.0009529664185534306,0.2384
Pacífico,Nueva secuencia genética,196,136445,7632,0.0014364762358459453,0.006116938356938421,0.2348
Pacífico,Diseño Industrial,8,136445,314,5.863168309575287e-05,0.00025166648900401783,0.233
Pacífico,Productos nutraceúticos,1,136445,51,7.328960386969109e-06,4.087576732230863e-05,0.1793
Pacífico,Regulación y norma práctica clínica,7,136445,389,5.130272270878376e-05,0.00031177791153682465,0.1645
Pacífico,Registros de acuerdos de licencia para la explotación de obras,20,136445,1510,0.00014657920773938218,0.0012102433069938437,0.1211
Pacífico,Regulación y norma protocolos de atención a usuarios/víctimas (pacientes),2,136445,330,1.4657920773938217e-05,0.00026449025914434995,0.0554
